id_anonimo,campus,tipo_campus,cargo,classe_cargo,nivel_pretendido,nivel_reconhecido,status
a3a528d17b2c9881,CNAT,Capital,Telefonista,Classe C,RSC-V,RSC-V,Deferido
68d3d192dfa4be97,MO,Interior,Técnico em Eletrotécnica,Classe D,RSC-VI,RSC-VI,Deferido
3eec454180863721,CH,Capital,Assistente de Aluno,Classe C,RSC-V,RSC-V,Deferido
9a865edab538eb0a,RE,Capital,Publicitario,Classe E,RSC-VI,RSC-VI,Deferido
4bc286b1cd82f82f,RE,Capital,Médico,Classe E,RSC-VI,RSC-VI,Deferido
600070b1f403be3f,PAR,Interior,Técnico de Laboratório Area,Classe D,RSC-V,RSC-V,Deferido
31cac809614384f3,SPP,Interior,Auxiliar em Administração,Classe C,RSC-III,RSC-III,Deferido
8aacab4b1bdac9b1,ZL,Capital,Revisor De Textos,Classe E,RSC-VI,RSC-VI,Deferido
4f243fb807eb58f2,IP,Interior,Técnico em Assuntos Educacionais,Classe E,RSC-VI,RSC-VI,Deferido
d76a8ea24e34b588,CNAT,Capital,Odontólogo - 40 Horas,Classe E,RSC-VI,RSC-VI,Deferido
a13b598343afe97d,NC,Interior,Auditor,Classe E,RSC-V,RSC-V,Deferido
aa485bae8cf66aa5,SGA,Interior,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
0b8bbae63c9305e5,RE,Capital,Engenheiro,Classe E,RSC-V,RSC-V,Deferido
35becb63a6b1014f,PAR,Interior,Técnico em Assuntos Educacionais,Classe E,RSC-VI,RSC-VI,Deferido
b1f60cb626b2c51c,CN,Interior,Técnico Em Alimentos E Laticinios,Classe D,RSC-VI,RSC-VI,Deferido
e72f02bbe7ef2088,ZN,Capital,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
245226f8c98502c7,CA,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
fc12f7b5df67faed,ZL,Capital,Tradutor e Intérprete de Libras,Classe D,RSC-V,RSC-V,Deferido
cdf949bde5cb4a56,PF,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
f80ba8fca71983e7,AP,Interior,Assistente de Aluno,Classe C,RSC-V,RSC-V,Deferido
b947f45c1f5d4c9a,CANG,Interior,Técnico em Assuntos Educacionais,Classe E,RSC-V,RSC-V,Deferido
1088c77790dfe554,CANG,Interior,Odontólogo - 40 Horas,Classe E,RSC-VI,RSC-VI,Deferido
82c6b3dfeabd3b99,RE,Capital,Diagramador,Classe D,RSC-VI,RSC-VI,Deferido
88924fff6030d9b3,CNAT,Capital,Vigilante,Classe D,RSC-V,RSC-V,Deferido
b48d8d0938fed8f2,IP,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
4d2529632b3777f3,MO,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
5df0b6c8f4104b83,MO,Interior,Servente De Limpeza,Classe D,RSC-V,RSC-V,Deferido
f8ea05a678a1ee3a,RE,Capital,Programador Visual,Classe E,RSC-VI,RSC-VI,Deferido
9de8c863dcd1a3ef,CNAT,Capital,Bibliotecário-Documentalista,Classe E,RSC-VI,RSC-VI,Deferido
5850af0463ab1f5c,SPP,Interior,Auxiliar em Assuntos Educacionais,Classe C,RSC-V,RSC-V,Deferido
c9c7ddf3741f0d4d,MO,Interior,Psicólogo,Classe E,RSC-VI,RSC-VI,Deferido
e9d43cdbf93703aa,MC,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
21ea9c0192a0f395,RE,Capital,Arquiteto E Urbanista,Classe E,RSC-VI,RSC-VI,Deferido
6934c6476ecd1d48,PF,Interior,Técnico De Tecnologia da Informação,Classe D,RSC-V,RSC-V,Deferido
3716e7ebe8b024f0,CNAT,Capital,Motorista,Classe C,RSC-V,RSC-V,Deferido
522ec42bc92cbe6d,RE,Capital,Nutricionista,Classe E,RSC-VI,RSC-VI,Deferido
0c96893c40b5ff12,CNAT,Capital,Assistente em Administração,Classe D,RSC-III,RSC-III,Deferido
