id_anonimo,cargo,lotacao,tipo_campus
123,MEDICO - PCCTAE (PCMED) - 647001,RE,Capital
124,ANALISTA DE TEC DA INFORMACAO (PCIFE) - 701062,DG/CNAT,Capital
125,MEDICO - PCCTAE (PCMED) - 647001,DG/CNAT,Capital
126,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,NC,Interior
127,PEDAGOGO-AREA (PCIFE) - 701058,DG/CN,Interior
128,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/AP,Interior
129,SECRETARIO EXECUTIVO (PCIFE) - 701076,RE,Capital
130,ASSISTENTE DE LABORATORIO (PCIFE) - 701437,DG/CNAT,Capital
131,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CANG,Interior
132,AUXILIAR DE ARTES GRAFICAS (PCIFE) - 701657,DG/MO,Interior
133,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/AP,Interior
134,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MC,Interior
135,MEDICO - PCCTAE (PCMED) - 647001,DG/CNAT,Capital
136,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/IP,Interior
137,CONTADOR (PCIFE) - 701015,DG/MO,Interior
138,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/IP,Interior
139,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MC,Interior
140,AUX EM ADMINISTRACAO (PCIFE) - 701405,NC,Interior
141,PORTEIRO (PCIFE) - 701458,DG/MO,Interior
142,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CN,Interior
143,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,NC,Interior
144,MEDICO - PCCTAE (PCMED) - 647001,DG/MO,Interior
145,AUX EM ADMINISTRACAO (PCIFE) - 701405,CCAL,Capital
146,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/MO,Interior
147,TECNICO EM ENFERMAGEM (PCIFE) - 701233,DG/PF,Interior
148,BIBLIOTECARIO-DOCUMENTALISTA (PCIFE) - 701010,DG/JC,Interior
149,ENGENHEIRO-AREA (PCIFE) - 701031,DG/CN,Interior
150,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,NC,Interior
151,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
152,MEDICO - PCCTAE (PCMED) - 647001,DG/PAAS,Interior
153,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CN,Interior
154,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,NC,Interior
155,AUXILIAR DE MECANICA (PCIFE) - 701620,DG/MO,Interior
156,ASSISTENTE DE LABORATORIO (PCIFE) - 701437,DG/CNAT,Capital
157,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/IP,Interior
158,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
159,TECNICO EM EDIFICACOES (PCIFE) - 701228,GABIN/SPO,Interior
160,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/MC,Interior
161,ENGENHEIRO DE SEG DO TRABALHO (PCIFE) - 701032,RE,Capital
162,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CA,Interior
163,TECNICO EM ASSUNTOS EDUCACIONAIS (PCIFE) - 701079,CSGA,Interior
164,MEDICO - PCCTAE (PCMED) - 647001,DG/AP,Interior
165,CONTADOR (PCIFE) - 701015,DG/ZN,Capital
166,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/CA,Interior
167,BIBLIOTECARIO-DOCUMENTALISTA (PCIFE) - 701010,DG/LAJ,Interior
168,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
169,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CNAT,Capital
170,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
171,AUX EM ADMINISTRACAO (PCIFE) - 701405,CSGA,Interior
172,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/SC,Interior
173,TECNICO EM EDIFICACOES (PCIFE) - 701228,CM,Interior
174,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/AP,Interior
175,TECNICO EM AUDIOVISUAL (PCIFE) - 701221,CM,Interior
176,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,NC,Interior
177,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/LAJ,Interior
178,ASSISTENTE DE ALUNO (PCIFE) - 701403,DG/PF,Interior
179,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/MC,Interior
180,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CNAT,Capital
